protein1 protein2 experimental database textmining combined_score
224308.BSU00380 224308.BSU29090 0 0 358 358
224308.BSU00380 224308.BSU16630 0 0 309 309
224308.BSU00380 224308.BSU28630 0 0 358 358
224308.BSU00380 224308.BSU21050 212 0 0 212
224308.BSU00380 224308.BSU11420 0 0 309 309
224308.BSU00380 224308.BSU19040 0 0 164 163
224308.BSU00390 224308.BSU02630 0 0 178 177
224308.BSU00390 224308.BSU05980 0 0 178 177
224308.BSU00390 224308.BSU17710 0 0 178 177
224308.BSU00400 224308.BSU19410 0 0 197 197
224308.BSU00400 224308.BSU09370 0 0 197 197
224308.BSU00400 224308.BSU34800 0 0 347 347
224308.BSU00400 224308.BSU26020 0 0 213 213
224308.BSU00400 224308.BSU12690 0 0 213 213
224308.BSU00400 224308.BSU09420 0 0 197 197
224308.BSU00410 224308.BSU14530 0 0 380 380
